X,CreatedWeekday,CreatedHour,RequestSource,count,daynum
1,Sun,0,Mobile App,115,7
2,Sun,1,Mobile App,82,7
3,Sun,2,Mobile App,71,7
4,Sun,3,Mobile App,83,7
5,Sun,4,Mobile App,22,7
6,Sun,5,Mobile App,27,7
7,Sun,6,Mobile App,110,7
8,Sun,7,Mobile App,456,7
9,Sun,8,Mobile App,737,7
10,Sun,9,Mobile App,1071,7
11,Sun,10,Mobile App,1131,7
12,Sun,11,Mobile App,1108,7
13,Sun,12,Mobile App,1055,7
14,Sun,13,Mobile App,1068,7
15,Sun,14,Mobile App,982,7
16,Sun,15,Mobile App,947,7
17,Sun,16,Mobile App,951,7
18,Sun,17,Mobile App,939,7
19,Sun,18,Mobile App,953,7
20,Sun,19,Mobile App,875,7
21,Sun,20,Mobile App,686,7
22,Sun,21,Mobile App,505,7
23,Sun,22,Mobile App,333,7
24,Sun,23,Mobile App,168,7
25,Mon,0,Mobile App,123,1
26,Mon,1,Mobile App,91,1
27,Mon,2,Mobile App,70,1
28,Mon,3,Mobile App,106,1
29,Mon,4,Mobile App,108,1
30,Mon,5,Mobile App,163,1
31,Mon,6,Mobile App,438,1
32,Mon,7,Mobile App,1066,1
33,Mon,8,Mobile App,1664,1
34,Mon,9,Mobile App,2608,1
35,Mon,10,Mobile App,3168,1
36,Mon,11,Mobile App,2694,1
37,Mon,12,Mobile App,2865,1
38,Mon,13,Mobile App,2203,1
39,Mon,14,Mobile App,1793,1
40,Mon,15,Mobile App,2214,1
41,Mon,16,Mobile App,1245,1
42,Mon,17,Mobile App,1430,1
43,Mon,18,Mobile App,1081,1
44,Mon,19,Mobile App,1206,1
45,Mon,20,Mobile App,926,1
46,Mon,21,Mobile App,605,1
47,Mon,22,Mobile App,475,1
48,Mon,23,Mobile App,306,1
49,Tues,0,Mobile App,157,2
50,Tues,1,Mobile App,89,2
51,Tues,2,Mobile App,135,2
52,Tues,3,Mobile App,104,2
53,Tues,4,Mobile App,110,2
54,Tues,5,Mobile App,144,2
55,Tues,6,Mobile App,498,2
56,Tues,7,Mobile App,1150,2
57,Tues,8,Mobile App,1619,2
58,Tues,9,Mobile App,2688,2
59,Tues,10,Mobile App,2933,2
60,Tues,11,Mobile App,2577,2
61,Tues,12,Mobile App,2472,2
62,Tues,13,Mobile App,1967,2
63,Tues,14,Mobile App,1834,2
64,Tues,15,Mobile App,2068,2
65,Tues,16,Mobile App,1191,2
66,Tues,17,Mobile App,1292,2
67,Tues,18,Mobile App,1173,2
68,Tues,19,Mobile App,1186,2
69,Tues,20,Mobile App,888,2
70,Tues,21,Mobile App,759,2
71,Tues,22,Mobile App,575,2
72,Tues,23,Mobile App,315,2
73,Wed,0,Mobile App,199,3
74,Wed,1,Mobile App,81,3
75,Wed,2,Mobile App,119,3
76,Wed,3,Mobile App,127,3
77,Wed,4,Mobile App,105,3
78,Wed,5,Mobile App,132,3
79,Wed,6,Mobile App,528,3
80,Wed,7,Mobile App,1121,3
81,Wed,8,Mobile App,1503,3
82,Wed,9,Mobile App,2288,3
83,Wed,10,Mobile App,2539,3
84,Wed,11,Mobile App,2249,3
85,Wed,12,Mobile App,2420,3
86,Wed,13,Mobile App,2021,3
87,Wed,14,Mobile App,1685,3
88,Wed,15,Mobile App,1948,3
89,Wed,16,Mobile App,1128,3
90,Wed,17,Mobile App,1144,3
91,Wed,18,Mobile App,1034,3
92,Wed,19,Mobile App,1026,3
93,Wed,20,Mobile App,815,3
94,Wed,21,Mobile App,672,3
95,Wed,22,Mobile App,567,3
96,Wed,23,Mobile App,339,3
97,Thurs,0,Mobile App,193,4
98,Thurs,1,Mobile App,117,4
99,Thurs,2,Mobile App,135,4
100,Thurs,3,Mobile App,123,4
101,Thurs,4,Mobile App,107,4
102,Thurs,5,Mobile App,149,4
103,Thurs,6,Mobile App,438,4
104,Thurs,7,Mobile App,1065,4
105,Thurs,8,Mobile App,1510,4
106,Thurs,9,Mobile App,2341,4
107,Thurs,10,Mobile App,2238,4
108,Thurs,11,Mobile App,1816,4
109,Thurs,12,Mobile App,2191,4
110,Thurs,13,Mobile App,1634,4
111,Thurs,14,Mobile App,1268,4
112,Thurs,15,Mobile App,1583,4
113,Thurs,16,Mobile App,1016,4
114,Thurs,17,Mobile App,1130,4
115,Thurs,18,Mobile App,1002,4
116,Thurs,19,Mobile App,962,4
117,Thurs,20,Mobile App,728,4
118,Thurs,21,Mobile App,550,4
119,Thurs,22,Mobile App,479,4
120,Thurs,23,Mobile App,302,4
121,Fri,0,Mobile App,106,5
122,Fri,1,Mobile App,109,5
123,Fri,2,Mobile App,74,5
124,Fri,3,Mobile App,100,5
125,Fri,4,Mobile App,105,5
126,Fri,5,Mobile App,141,5
127,Fri,6,Mobile App,456,5
128,Fri,7,Mobile App,975,5
129,Fri,8,Mobile App,1278,5
130,Fri,9,Mobile App,2030,5
131,Fri,10,Mobile App,2118,5
132,Fri,11,Mobile App,1980,5
133,Fri,12,Mobile App,2026,5
134,Fri,13,Mobile App,1407,5
135,Fri,14,Mobile App,1232,5
136,Fri,15,Mobile App,1696,5
137,Fri,16,Mobile App,925,5
138,Fri,17,Mobile App,870,5
139,Fri,18,Mobile App,776,5
140,Fri,19,Mobile App,718,5
141,Fri,20,Mobile App,395,5
142,Fri,21,Mobile App,347,5
143,Fri,22,Mobile App,324,5
144,Fri,23,Mobile App,257,5
145,Sat,0,Mobile App,152,6
146,Sat,1,Mobile App,88,6
147,Sat,2,Mobile App,78,6
148,Sat,3,Mobile App,79,6
149,Sat,4,Mobile App,40,6
150,Sat,5,Mobile App,43,6
151,Sat,6,Mobile App,193,6
152,Sat,7,Mobile App,559,6
