"","CreatedYear","CreatedMonth","month_year","RequestSource","count"
"1",2015,"Aug","Aug-2015","Mobile App",3805
"2",2015,"Sep","Sep-2015","Mobile App",12887
"3",2015,"Oct","Oct-2015","Mobile App",6529
"4",2015,"Nov","Nov-2015","Mobile App",4828
"5",2015,"Dec","Dec-2015","Mobile App",4919
"6",2016,"Jan","Jan-2016","Mobile App",9135
"7",2016,"Feb","Feb-2016","Mobile App",10357
"8",2016,"Mar","Mar-2016","Mobile App",10851
"9",2016,"Apr","Apr-2016","Mobile App",11532
"10",2016,"May","May-2016","Mobile App",12017
"11",2016,"Jun","Jun-2016","Mobile App",11708
"12",2016,"Jul","Jul-2016","Mobile App",11518
"13",2016,"Aug","Aug-2016","Mobile App",12957
"14",2016,"Sep","Sep-2016","Mobile App",12466
"15",2016,"Oct","Oct-2016","Mobile App",12436
