,CD,duration,avgproc,volume,handle,workload
1,1,473.62,4.66,68972,145.63,678.64
2,2,473.63,4.04,69080,145.85,589.23
3,3,473.64,3.62,55439,117.05,423.72
4,4,473.62,4.67,56785,119.9,559.93
5,5,473.58,4.38,50551,106.74,467.52
6,6,473.63,3.65,69444,146.62,535.16
7,7,473.58,3.92,58703,123.96,485.92
8,8,473.51,3.44,88967,187.89,646.34
9,9,473.52,3.04,99351,209.81,637.82
10,10,473.57,4.95,83245,175.78,870.11
11,11,473.51,5.29,52129,110.09,582.38
12,12,473.52,3.84,61260,129.37,496.78
13,13,473.62,4.84,94534,199.6,966.06
14,14,473.57,4.83,89439,188.86,912.19
15,15,473.56,3.04,77330,163.3,496.43
