"","CD","RequestType","volume"
"1",1,"Bulky Items",27738
"2",1,"Graffiti Removal",26060
"3",1,"Illegal Dumping Pickup",4108
"4",1,"Metal/Household Appliances",3500
"5",1,"Electronic Waste",2881
"6",2,"Bulky Items",38976
"7",2,"Graffiti Removal",12356
"8",2,"Illegal Dumping Pickup",4644
"9",2,"Metal/Household Appliances",4571
"10",2,"Electronic Waste",3919
"11",3,"Bulky Items",30607
"12",3,"Graffiti Removal",8362
"13",3,"Metal/Household Appliances",5001
"14",3,"Illegal Dumping Pickup",3471
"15",3,"Electronic Waste",3379
"16",4,"Bulky Items",32906
"17",4,"Graffiti Removal",6428
"18",4,"Metal/Household Appliances",5309
"19",4,"Illegal Dumping Pickup",2966
"20",4,"Electronic Waste",2645
"21",5,"Bulky Items",29111
"22",5,"Graffiti Removal",4915
"23",5,"Metal/Household Appliances",4839
"24",5,"Illegal Dumping Pickup",2842
"25",5,"Electronic Waste",2385
"26",6,"Bulky Items",38148
"27",6,"Graffiti Removal",13274
"28",6,"Illegal Dumping Pickup",4720
"29",6,"Electronic Waste",4343
"30",6,"Metal/Household Appliances",3469
"31",7,"Bulky Items",36131
"32",7,"Graffiti Removal",4963
"33",7,"Metal/Household Appliances",4730
"34",7,"Electronic Waste",4507
"35",7,"Illegal Dumping Pickup",3520
"36",8,"Bulky Items",48882
"37",8,"Graffiti Removal",16868
"38",8,"Illegal Dumping Pickup",7245
"39",8,"Metal/Household Appliances",5664
"40",8,"Electronic Waste",4320
"41",9,"Graffiti Removal",48558
"42",9,"Bulky Items",33186
"43",9,"Illegal Dumping Pickup",5626
"44",9,"Metal/Household Appliances",3344
"45",9,"Electronic Waste",3006
"46",10,"Bulky Items",42171
"47",10,"Graffiti Removal",22074
"48",10,"Illegal Dumping Pickup",5283
"49",10,"Metal/Household Appliances",5096
"50",10,"Electronic Waste",3563
"51",11,"Bulky Items",28554
"52",11,"Graffiti Removal",7752
"53",11,"Metal/Household Appliances",5136
"54",11,"Illegal Dumping Pickup",3177
"55",11,"Electronic Waste",2122
"56",12,"Bulky Items",34409
"57",12,"Graffiti Removal",8463
"58",12,"Metal/Household Appliances",6731
"59",12,"Electronic Waste",3842
"60",12,"Illegal Dumping Pickup",2661
"61",13,"Bulky Items",43109
"62",13,"Graffiti Removal",31898
"63",13,"Illegal Dumping Pickup",5624
"64",13,"Metal/Household Appliances",4859
"65",13,"Electronic Waste",3676
"66",14,"Graffiti Removal",37506
"67",14,"Bulky Items",32610
"68",14,"Illegal Dumping Pickup",4844
"69",14,"Metal/Household Appliances",3733
"70",14,"Electronic Waste",3461
"71",15,"Bulky Items",33067
"72",15,"Graffiti Removal",25383
"73",15,"Metal/Household Appliances",5469
"74",15,"Illegal Dumping Pickup",5162
"75",15,"Electronic Waste",3494
