"","RequestType","total.income","count"
"1","Bulky Items",2870,4
"2","Bulky Items",3309,2
"3","Bulky Items",11618,2
"4","Bulky Items",12156,493
"5","Bulky Items",12324,266
"6","Bulky Items",12679,4223
"7","Bulky Items",14416,307
"8","Bulky Items",15022,5799
"9","Bulky Items",15239,13486
"10","Bulky Items",15325,1823
"11","Bulky Items",15333,11448
"12","Bulky Items",15440,10101
"13","Bulky Items",15495,4383
"14","Bulky Items",15507,3350
"15","Bulky Items",15632,1374
"16","Bulky Items",15653,6691
"17","Bulky Items",15871,5847
"18","Bulky Items",15932,2695
"19","Bulky Items",15997,3379
"20","Bulky Items",16128,6213
"21","Bulky Items",16295,1307
"22","Bulky Items",16537,11631
"23","Bulky Items",16659,3317
"24","Bulky Items",16956,2778
"25","Bulky Items",16970,2270
"26","Bulky Items",17075,1
"27","Bulky Items",17163,4104
"28","Bulky Items",17239,9213
"29","Bulky Items",17269,272
"30","Bulky Items",17312,1524
"31","Bulky Items",18407,7284
"32","Bulky Items",18537,8959
"33","Bulky Items",18783,8011
"34","Bulky Items",18932,15633
"35","Bulky Items",19067,7691
"36","Bulky Items",19103,8141
"37","Bulky Items",19309,7546
"38","Bulky Items",20122,8813
"39","Bulky Items",20135,5240
"40","Bulky Items",20210,6889
"41","Bulky Items",20336,2
"42","Bulky Items",20356,10
"43","Bulky Items",20401,6310
"44","Bulky Items",20468,1764
"45","Bulky Items",20820,9704
"46","Bulky Items",21075,8104
"47","Bulky Items",21211,8137
"48","Bulky Items",21227,4164
"49","Bulky Items",21259,4617
"50","Bulky Items",21532,10602
"51","Bulky Items",22045,7323
"52","Bulky Items",22228,5812
"53","Bulky Items",22309,6131
"54","Bulky Items",22418,10950
"55","Bulky Items",22518,8038
"56","Bulky Items",22638,8381
"57","Bulky Items",22834,9942
"58","Bulky Items",22865,12363
"59","Bulky Items",22981,1138
"60","Bulky Items",22996,3808
"61","Bulky Items",23083,11765
"62","Bulky Items",23466,3324
"63","Bulky Items",23575,6596
"64","Bulky Items",23971,1
"65","Bulky Items",24545,2018
"66","Bulky Items",24941,9564
"67","Bulky Items",25827,5578
"68","Bulky Items",25904,3394
"69","Bulky Items",25933,6819
"70","Bulky Items",26105,4708
"71","Bulky Items",26337,669
"72","Bulky Items",26415,4778
"73","Bulky Items",26438,3140
"74","Bulky Items",27088,2363
"75","Bulky Items",27546,6835
"76","Bulky Items",28266,12
"77","Bulky Items",28625,100
"78","Bulky Items",29086,3848
"79","Bulky Items",30460,4507
"80","Bulky Items",31003,7002
"81","Bulky Items",31613,3646
"82","Bulky Items",31675,188
"83","Bulky Items",31713,4
"84","Bulky Items",32432,4811
"85","Bulky Items",33629,8063
"86","Bulky Items",33730,452
"87","Bulky Items",33953,3064
"88","Bulky Items",34831,5617
"89","Bulky Items",35026,3
"90","Bulky Items",35388,1205
"91","Bulky Items",35633,3118
"92","Bulky Items",36258,6950
"93","Bulky Items",37156,4396
"94","Bulky Items",37776,4530
"95","Bulky Items",38518,4633
"96","Bulky Items",39311,2383
"97","Bulky Items",39509,2298
"98","Bulky Items",39664,3837
"99","Bulky Items",40243,93
"100","Bulky Items",40362,3349
"101","Bulky Items",40631,4897
"102","Bulky Items",42001,211
"103","Bulky Items",42578,51
"104","Bulky Items",42628,2896
"105","Bulky Items",42940,3657
"106","Bulky Items",42963,2722
"107","Bulky Items",43672,3791
"108","Bulky Items",44136,3
"109","Bulky Items",44314,3871
"110","Bulky Items",44717,135
"111","Bulky Items",44887,3818
"112","Bulky Items",45249,1
"113","Bulky Items",47068,4772
"114","Bulky Items",48321,559
"115","Bulky Items",48605,2456
"116","Bulky Items",50272,3601
"117","Bulky Items",50613,4
"118","Bulky Items",51183,566
"119","Bulky Items",53286,3178
"120","Bulky Items",53564,3
"121","Bulky Items",53733,982
"122","Bulky Items",60115,5
"123","Bulky Items",61464,1496
"124","Bulky Items",61485,2559
"125","Bulky Items",63516,965
"126","Bulky Items",63733,8
"127","Bulky Items",64156,124
"128","Bulky Items",66707,126
"129","Bulky Items",69602,1967
"130","Bulky Items",75404,701
"131","Dead Animal Removal",2870,1
"132","Dead Animal Removal",3309,2
"133","Dead Animal Removal",12156,68
"134","Dead Animal Removal",12324,57
"135","Dead Animal Removal",12679,246
"136","Dead Animal Removal",14416,31
"137","Dead Animal Removal",15022,360
"138","Dead Animal Removal",15239,1107
"139","Dead Animal Removal",15325,138
"140","Dead Animal Removal",15333,993
"141","Dead Animal Removal",15440,668
"142","Dead Animal Removal",15495,522
"143","Dead Animal Removal",15507,371
"144","Dead Animal Removal",15632,39
"145","Dead Animal Removal",15653,489
"146","Dead Animal Removal",15871,296
"147","Dead Animal Removal",15932,279
"148","Dead Animal Removal",15997,92
"149","Dead Animal Removal",16128,278
"150","Dead Animal Removal",16295,179
"151","Dead Animal Removal",16537,845
"152","Dead Animal Removal",16659,296
"153","Dead Animal Removal",16956,119
"154","Dead Animal Removal",16970,150
"155","Dead Animal Removal",17075,1
"156","Dead Animal Removal",17110,2
"157","Dead Animal Removal",17163,83
"158","Dead Animal Removal",17239,571
"159","Dead Animal Removal",17269,26
"160","Dead Animal Removal",17312,95
"161","Dead Animal Removal",18407,192
"162","Dead Animal Removal",18537,394
"163","Dead Animal Removal",18783,488
"164","Dead Animal Removal",18932,1043
"165","Dead Animal Removal",19067,453
"166","Dead Animal Removal",19103,394
"167","Dead Animal Removal",19309,403
"168","Dead Animal Removal",20122,536
"169","Dead Animal Removal",20135,95
"170","Dead Animal Removal",20210,285
"171","Dead Animal Removal",20401,466
"172","Dead Animal Removal",20468,149
"173","Dead Animal Removal",20820,256
"174","Dead Animal Removal",21075,491
"175","Dead Animal Removal",21211,756
"176","Dead Animal Removal",21227,75
"177","Dead Animal Removal",21259,92
"178","Dead Animal Removal",21384,1
"179","Dead Animal Removal",21532,497
"180","Dead Animal Removal",22045,457
"181","Dead Animal Removal",22228,343
"182","Dead Animal Removal",22309,404
"183","Dead Animal Removal",22418,454
"184","Dead Animal Removal",22518,552
"185","Dead Animal Removal",22638,391
"186","Dead Animal Removal",22834,624
"187","Dead Animal Removal",22865,455
"188","Dead Animal Removal",22981,68
"189","Dead Animal Removal",22996,150
"190","Dead Animal Removal",23083,828
"191","Dead Animal Removal",23466,136
"192","Dead Animal Removal",23575,369
"193","Dead Animal Removal",23578,1
"194","Dead Animal Removal",23971,2
"195","Dead Animal Removal",24545,147
"196","Dead Animal Removal",24941,549
"197","Dead Animal Removal",25827,345
"198","Dead Animal Removal",25904,303
"199","Dead Animal Removal",25933,233
"200","Dead Animal Removal",26105,228
"201","Dead Animal Removal",26337,53
"202","Dead Animal Removal",26415,162
"203","Dead Animal Removal",26438,268
"204","Dead Animal Removal",27088,100
"205","Dead Animal Removal",27546,275
"206","Dead Animal Removal",28266,9
"207","Dead Animal Removal",28625,12
"208","Dead Animal Removal",29086,280
"209","Dead Animal Removal",30460,245
"210","Dead Animal Removal",31003,488
"211","Dead Animal Removal",31613,223
"212","Dead Animal Removal",31675,18
"213","Dead Animal Removal",31713,7
"214","Dead Animal Removal",32432,376
"215","Dead Animal Removal",33629,272
"216","Dead Animal Removal",33730,7
"217","Dead Animal Removal",33953,169
"218","Dead Animal Removal",34831,319
"219","Dead Animal Removal",35026,2
"220","Dead Animal Removal",35388,75
"221","Dead Animal Removal",35633,194
"222","Dead Animal Removal",36258,316
"223","Dead Animal Removal",37156,337
"224","Dead Animal Removal",37776,241
"225","Dead Animal Removal",38518,183
"226","Dead Animal Removal",39311,120
"227","Dead Animal Removal",39509,192
"228","Dead Animal Removal",39664,221
"229","Dead Animal Removal",40243,10
"230","Dead Animal Removal",40362,216
"231","Dead Animal Removal",40631,156
"232","Dead Animal Removal",42001,7
"233","Dead Animal Removal",42578,4
"234","Dead Animal Removal",42628,165
"235","Dead Animal Removal",42940,235
"236","Dead Animal Removal",42963,149
"237","Dead Animal Removal",43672,235
"238","Dead Animal Removal",44136,1
"239","Dead Animal Removal",44314,331
"240","Dead Animal Removal",44717,11
"241","Dead Animal Removal",44887,230
"242","Dead Animal Removal",47068,173
"243","Dead Animal Removal",48321,57
"244","Dead Animal Removal",48605,119
"245","Dead Animal Removal",49150,2
"246","Dead Animal Removal",50272,151
"247","Dead Animal Removal",50613,1
"248","Dead Animal Removal",51183,22
"249","Dead Animal Removal",53286,194
"250","Dead Animal Removal",53564,6
"251","Dead Animal Removal",53733,72
"252","Dead Animal Removal",61464,124
"253","Dead Animal Removal",61485,196
"254","Dead Animal Removal",63516,50
"255","Dead Animal Removal",63733,1
"256","Dead Animal Removal",64156,17
"257","Dead Animal Removal",66707,48
"258","Dead Animal Removal",69602,136
"259","Dead Animal Removal",75404,54
"260","Electronic Waste",12156,13
"261","Electronic Waste",12324,16
"262","Electronic Waste",12679,334
"263","Electronic Waste",14416,9
"264","Electronic Waste",15022,675
"265","Electronic Waste",15239,1235
"266","Electronic Waste",15325,208
"267","Electronic Waste",15333,1064
"268","Electronic Waste",15440,884
"269","Electronic Waste",15495,469
"270","Electronic Waste",15507,410
"271","Electronic Waste",15632,166
"272","Electronic Waste",15653,555
"273","Electronic Waste",15871,612
"274","Electronic Waste",15932,237
"275","Electronic Waste",15997,359
"276","Electronic Waste",16128,628
"277","Electronic Waste",16295,129
"278","Electronic Waste",16537,946
"279","Electronic Waste",16659,373
"280","Electronic Waste",16956,181
"281","Electronic Waste",16970,254
"282","Electronic Waste",17163,343
"283","Electronic Waste",17239,769
"284","Electronic Waste",17269,11
