geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
01000US,United States,314107084,0,261036988,1539,197159492,8569,38460598,27806,2082768,7398,15536209,21025,493155,4158,611881,10486,6692885,45979,294346,6738,6398539,42819,53070096,1536,34690221,51065,1104187,15994,482752,10615,174450,5698,42606,2583,14143014,86711,2432866,37438,1234556,25814,1198310,16727
04000US06,California,38066920,0,23532471,0,14905601,3435,2155929,6064,145736,2746,5062736,8006,136464,1879,81869,3869,1044136,11815,54818,2610,989318,11668,14534449,0,8745312,26890,106394,3676,141624,5855,67800,3020,10822,907,4808460,33991,654037,13882,343679,9078,310358,8302
05000US06037,"Los Angeles County, CA",9974203,0,5173712,0,2711665,1600,802132,2642,18207,1056,1377333,3502,23921,594,24807,1707,215647,4558,15138,1139,200509,4362,4800491,0,2617668,18660,30121,1826,36202,2498,17016,1435,2153,461,1925133,20825,172198,5343,96368,3583,75830,3409
31000US31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",13060534,0,7209272,0,4035246,1919,849204,2897,24471,1185,1946958,4205,32656,807,29990,2002,290747,5672,18367,1323,272380,5557,5851262,0,3236762,20762,33815,2041,41790,2608,21052,1588,2890,567,2306955,23877,207998,6001,116919,4140,91079,3601
86000US90001,90001,56314,1813,5736,520,390,205,5112,518,17,28,74,45,0,29,12,18,131,82,26,30,105,76,50578,1851,27707,1946,218,126,446,437,9,14,0,29,21600,1928,598,209,436,195,162,108
86000US90002,90002,50098,1993,12933,1063,407,195,12153,1061,53,49,151,70,18,20,6,11,145,116,0,26,145,116,37165,1927,23828,2034,163,135,152,126,0,26,31,43,12683,1444,308,122,198,102,110,68
86000US90003,90003,66913,1801,17323,1274,331,160,16214,1230,125,124,241,217,21,40,55,41,336,234,1,2,335,234,49590,1774,14648,1447,272,133,386,211,1,3,8,14,33529,1830,746,274,397,205,349,193
86000US90004,90004,63547,1660,31245,1197,11034,849,2053,351,70,64,16118,848,190,224,549,293,1231,369,141,105,1090,341,32302,1626,10917,1262,218,168,216,155,181,154,0,29,20153,1528,617,207,459,160,158,92
86000US90005,90005,38638,1340,18240,984,3281,418,1453,298,98,61,12819,885,8,12,189,145,392,151,42,50,350,142,20398,1317,4273,694,201,115,121,101,57,75,0,26,15450,1173,296,127,113,81,183,104
86000US90006,90006,61419,1676,15615,1065,2079,468,1767,420,58,47,11040,821,283,233,67,61,321,117,37,29,284,116,45804,1416,9013,970,223,145,404,268,56,82,0,29,35281,1465,827,265,621,226,206,146
