"X","day","hour","count","daynum"
1,"Fri",0,468,5
2,"Fri",1,478,5
3,"Fri",2,257,5
4,"Fri",3,286,5
5,"Fri",4,244,5
6,"Fri",5,395,5
7,"Fri",6,1012,5
8,"Fri",7,3856,5
9,"Fri",8,11241,5
10,"Fri",9,14527,5
11,"Fri",10,15922,5
12,"Fri",11,15288,5
13,"Fri",12,13921,5
14,"Fri",13,14145,5
15,"Fri",14,14488,5
16,"Fri",15,13090,5
17,"Fri",16,9070,5
18,"Fri",17,3837,5
19,"Fri",18,2189,5
20,"Fri",19,1797,5
21,"Fri",20,1045,5
22,"Fri",21,836,5
23,"Fri",22,773,5
24,"Fri",23,689,5
25,"Mon",0,506,1
26,"Mon",1,397,1
27,"Mon",2,328,1
28,"Mon",3,316,1
29,"Mon",4,277,1
30,"Mon",5,527,1
31,"Mon",6,1368,1
32,"Mon",7,5925,1
33,"Mon",8,18098,1
34,"Mon",9,24592,1
35,"Mon",10,26629,1
36,"Mon",11,25001,1
37,"Mon",12,22872,1
38,"Mon",13,20569,1
39,"Mon",14,20287,1
40,"Mon",15,20929,1
41,"Mon",16,15323,1
42,"Mon",17,7138,1
43,"Mon",18,4008,1
44,"Mon",19,3476,1
45,"Mon",20,2168,1
46,"Mon",21,1515,1
47,"Mon",22,1699,1
48,"Mon",23,1138,1
49,"Sat",0,370,6
50,"Sat",1,245,6
51,"Sat",2,328,6
52,"Sat",3,238,6
53,"Sat",4,174,6
54,"Sat",5,125,6
55,"Sat",6,486,6
56,"Sat",7,1592,6
57,"Sat",8,4538,6
58,"Sat",9,6855,6
59,"Sat",10,7523,6
60,"Sat",11,7225,6
61,"Sat",12,6002,6
62,"Sat",13,6216,6
63,"Sat",14,5697,6
64,"Sat",15,4901,6
65,"Sat",16,3550,6
66,"Sat",17,2057,6
67,"Sat",18,1666,6
68,"Sat",19,1400,6
69,"Sat",20,1062,6
70,"Sat",21,905,6
71,"Sat",22,711,6
72,"Sat",23,515,6
73,"Sun",0,291,7
74,"Sun",1,191,7
75,"Sun",2,148,7
76,"Sun",3,123,7
77,"Sun",4,54,7
78,"Sun",5,72,7
79,"Sun",6,333,7
80,"Sun",7,1070,7
81,"Sun",8,2758,7
82,"Sun",9,4034,7
83,"Sun",10,4466,7
84,"Sun",11,4632,7
85,"Sun",12,4454,7
86,"Sun",13,4528,7
87,"Sun",14,4361,7
88,"Sun",15,4332,7
89,"Sun",16,4094,7
90,"Sun",17,2635,7
91,"Sun",18,2343,7
92,"Sun",19,2050,7
93,"Sun",20,1672,7
94,"Sun",21,1296,7
95,"Sun",22,1096,7
96,"Sun",23,820,7
97,"Thurs",0,566,4
98,"Thurs",1,491,4
99,"Thurs",2,524,4
100,"Thurs",3,342,4
101,"Thurs",4,274,4
102,"Thurs",5,455,4
103,"Thurs",6,1198,4
104,"Thurs",7,4859,4
105,"Thurs",8,14942,4
106,"Thurs",9,19259,4
107,"Thurs",10,19776,4
108,"Thurs",11,18180,4
109,"Thurs",12,17464,4
110,"Thurs",13,16338,4
111,"Thurs",14,15530,4
112,"Thurs",15,15006,4
113,"Thurs",16,11964,4
114,"Thurs",17,5624,4
115,"Thurs",18,3529,4
116,"Thurs",19,2814,4
117,"Thurs",20,2083,4
118,"Thurs",21,1348,4
119,"Thurs",22,1456,4
120,"Thurs",23,1062,4
121,"Tues",0,685,2
122,"Tues",1,452,2
123,"Tues",2,447,2
124,"Tues",3,398,2
125,"Tues",4,347,2
126,"Tues",5,589,2
127,"Tues",6,1287,2
128,"Tues",7,5864,2
129,"Tues",8,18252,2
130,"Tues",9,24458,2
131,"Tues",10,24879,2
132,"Tues",11,24066,2
133,"Tues",12,22384,2
134,"Tues",13,20293,2
135,"Tues",14,20348,2
136,"Tues",15,19674,2
137,"Tues",16,15237,2
138,"Tues",17,7398,2
139,"Tues",18,3957,2
140,"Tues",19,3406,2
141,"Tues",20,2202,2
142,"Tues",21,1703,2
143,"Tues",22,2002,2
144,"Tues",23,1257,2
145,"Wed",0,816,3
146,"Wed",1,484,3
147,"Wed",2,490,3
148,"Wed",3,448,3
149,"Wed",4,343,3
150,"Wed",5,491,3
151,"Wed",6,1303,3
152,"Wed",7,5570,3
153,"Wed",8,17393,3
154,"Wed",9,22167,3
155,"Wed",10,23790,3
156,"Wed",11,22367,3
157,"Wed",12,20776,3
158,"Wed",13,18887,3
159,"Wed",14,19229,3
160,"Wed",15,19249,3
161,"Wed",16,14503,3
162,"Wed",17,6580,3
163,"Wed",18,3883,3
164,"Wed",19,2975,3
165,"Wed",20,2088,3
166,"Wed",21,1572,3
167,"Wed",22,1866,3
168,"Wed",23,1329,3
