"","Los.Angeles..CA","total.income","age","population","bachelor","race","perc"
"1",90001,16295,27.3,56314,"2.1%","Hispanic",89.81
"2",90002,15495,26.2,50098,"2.2%","Hispanic",74.18
"3",90003,15333,26.8,66913,"3.2%","Hispanic",74.11
"4",90004,20820,35.8,63547,"23.3%","Hispanic",50.83
"5",90005,17163,34,38638,"18.2%","Hispanic",52.79
"6",90006,16128,33.5,61419,"9.7%","Hispanic",74.58
"7",90007,12679,24,43779,"10.0%","Hispanic",52.11
"8",90008,22228,41.5,33012,"18.9%","AfricanAmerican",68.53
"9",90010,31675,39.5,3792,"40.4%","Asian",73.66
"10",90011,15239,27.8,102926,"1.8%","Hispanic",90.43
"11",90012,15325,36.6,30029,"20.8%","Asian",43.33
"12",90013,14416,43.1,10575,"30.6%","AfricanAmerican",32.59
"13",90014,17269,43.2,6659,"35.9%","White",42.15
"14",90015,17312,32.8,18226,"15.9%","Hispanic",66.38
"15",90016,20122,35.2,47786,"12.3%","Hispanic",52.6
"16",90017,15632,30.2,23719,"13.9%","Hispanic",67.65
"17",90018,17239,33.9,48852,"9.0%","Hispanic",58.26
"18",90019,21532,36.9,67606,"21.3%","Hispanic",46.9
"19",90020,21227,35.4,39102,"26.8%","Asian",45.46
"20",90021,12156,47.5,2913,"15.0%","Hispanic",50.29
"21",90023,16659,30.2,45886,"3.7%","Hispanic",96.04
"22",90024,16956,23.2,50117,"32.7%","White",56.1
"23",90025,40631,34.7,45284,"51.6%","White",53.82
"24",90026,22865,34.5,67986,"24.8%","Hispanic",55.56
"25",90027,27546,38.9,46025,"39.3%","White",58.8
"26",90028,21259,33.2,29994,"30.2%","White",50.14
"27",90029,18407,35.5,40161,"18.4%","Hispanic",57.85
"28",90031,15871,35.3,39333,"9.2%","Hispanic",67.19
"29",90032,19309,34,47309,"8.9%","Hispanic",81.76
"30",90033,15022,29,48567,"4.5%","Hispanic",91.1
"31",90034,33629,32.3,58968,"37.7%","White",38.34
"32",90035,37776,37,31399,"44.2%","White",67.72
"33",90036,44887,34.8,36425,"50.6%","White",61.47
"34",90037,15440,29.5,61536,"3.4%","Hispanic",76.83
"35",90038,20135,32.6,28798,"19.9%","Hispanic",57.54
"36",90039,34831,38.8,27843,"34.2%","Hispanic",39.23
"37",90041,26105,40.1,28439,"30.1%","Hispanic",37.03
"38",90042,22418,35,61034,"17.0%","Hispanic",68.64
"39",90043,21075,40.3,43118,"14.4%","AfricanAmerican",59.81
"40",90044,16537,30.2,88412,"4.8%","Hispanic",60.63
"41",90045,37156,35.1,41453,"34.8%","White",51.2
"42",90046,38518,38.1,51329,"49.9%","White",75.03
"43",90047,21211,37.4,46999,"10.1%","AfricanAmerican",64.89
"44",90048,48605,37.1,22409,"54.0%","White",77.56
"45",90049,61485,41.8,35262,"59.9%","White",80.13
"46",90056,44717,50.8,8380,"40.7%","AfricanAmerican",74.65
"47",90057,15997,32.4,45747,"11.1%","Hispanic",69.91
"48",90058,12324,29,2748,"3.2%","Hispanic",78.09
"49",90059,15507,26,42470,"3.5%","Hispanic",64.54
"50",90061,15932,27.6,28641,"4.0%","Hispanic",61.74
"51",90062,15653,33,32675,"4.2%","Hispanic",60.52
"52",90063,16970,30.9,54353,"3.3%","Hispanic",96.82
"53",90064,42940,38.9,25788,"45.9%","White",60.54
"54",90065,22638,37.1,46254,"18.9%","Hispanic",62.8
"55",90066,36258,37.1,58337,"37.1%","White",46.23
"56",90067,63733,58.9,2364,"53.7%","White",81.6
"57",90068,50272,38.5,21943,"53.0%","White",72.02
"58",90069,51183,42.4,20426,"56.3%","White",72.95
"59",90071,0,0,0,"#DIV/0!","White",NA
"60",90073,11618,53.4,801,"3.4%","White",41.7
"61",90077,75404,47.8,8328,"54.2%","White",81.96
"62",90079,0,0,0,"#DIV/0!","White",NA
"63",90089,3309,19.4,3326,"1.0%","White",47.75
"64",90090,0,0,0,"#DIV/0!","White",NA
"65",90094,66707,33.2,6062,"58.8%","White",44.52
"66",90095,0,0,0,"#DIV/0!","White",NA
"67",90210,48321,46.8,21478,"44.7%","White",82.35
"68",90211,49150,40.3,8080,"40.0%","White",78.3
"69",90212,50613,42.2,12415,"50.0%","White",73.19
"70",90230,35388,38.4,33090,"34.4%","White",38.25
"71",90232,42001,39.4,15353,"36.0%","White",47.37
"72",90245,44136,38.9,16839,"31.2%","White",67.96
"73",90247,22981,36.3,47374,"15.1%","Hispanic",44.76
"74",90248,26337,45.5,9936,"16.6%","Hispanic",42.15
"75",90250,25290,32,95223,"12.4%","Hispanic",53.26
"76",90262,17292,28.6,70650,"3.1%","Hispanic",88.75
"77",90265,56083,49.4,17660,"43.3%","White",81.78
"78",90272,69602,47.4,23497,"53.9%","White",85.12
"79",90275,53564,49.6,42420,"47.6%","White",56.31
"80",90290,50496,43.8,6902,"40.2%","White",82.6
"81",90291,47068,38,27803,"48.3%","White",67.1
"82",90292,63516,40.7,21507,"57.6%","White",73.65
"83",90293,53733,41,11997,"51.7%","White",59.91
"84",90301,20336,32.7,36714,"8.0%","Hispanic",62.71
"85",90302,23578,32.7,30219,"13.0%","AfricanAmerican",48.24
"86",90303,19470,30.2,26453,"6.7%","Hispanic",62.97
"87",90304,17110,29.3,26936,"3.7%","Hispanic",91.2
"88",90305,31713,42.3,15501,"23.1%","AfricanAmerican",81.59
"89",90402,64156,49,11503,"57.7%","White",83.16
"90",90403,50095,39.2,25116,"59.5%","White",78.56
