"Los Angeles, CA",total income,age,population,bachelor
90001,16295,27.3,56314,2.1%
90002,15495,26.2,50098,2.2%
90003,15333,26.8,66913,3.2%
90004,20820,35.8,63547,23.3%
90005,17163,34,38638,18.2%
90006,16128,33.5,61419,9.7%
90007,12679,24,43779,10.0%
90008,22228,41.5,33012,18.9%
90010,31675,39.5,3792,40.4%
90011,15239,27.8,102926,1.8%
90012,15325,36.6,30029,20.8%
90013,14416,43.1,10575,30.6%
90014,17269,43.2,6659,35.9%
90015,17312,32.8,18226,15.9%
90016,20122,35.2,47786,12.3%
90017,15632,30.2,23719,13.9%
90018,17239,33.9,48852,9.0%
90019,21532,36.9,67606,21.3%
90020,21227,35.4,39102,26.8%
90021,12156,47.5,2913,15.0%
90023,16659,30.2,45886,3.7%
90024,16956,23.2,50117,32.7%
90025,40631,34.7,45284,51.6%
90026,22865,34.5,67986,24.8%
90027,27546,38.9,46025,39.3%
90028,21259,33.2,29994,30.2%
90029,18407,35.5,40161,18.4%
90031,15871,35.3,39333,9.2%
90032,19309,34,47309,8.9%
90033,15022,29,48567,4.5%
90034,33629,32.3,58968,37.7%
90035,37776,37,31399,44.2%
90036,44887,34.8,36425,50.6%
90037,15440,29.5,61536,3.4%
90038,20135,32.6,28798,19.9%
90039,34831,38.8,27843,34.2%
90041,26105,40.1,28439,30.1%
90042,22418,35,61034,17.0%
90043,21075,40.3,43118,14.4%
90044,16537,30.2,88412,4.8%
90045,37156,35.1,41453,34.8%
90046,38518,38.1,51329,49.9%
90047,21211,37.4,46999,10.1%
90048,48605,37.1,22409,54.0%
90049,61485,41.8,35262,59.9%
90056,44717,50.8,8380,40.7%
90057,15997,32.4,45747,11.1%
90058,12324,29,2748,3.2%
90059,15507,26,42470,3.5%
90061,15932,27.6,28641,4.0%
90062,15653,33,32675,4.2%
90063,16970,30.9,54353,3.3%
90064,42940,38.9,25788,45.9%
90065,22638,37.1,46254,18.9%
90066,36258,37.1,58337,37.1%
90067,63733,58.9,2364,53.7%
90068,50272,38.5,21943,53.0%
90069,51183,42.4,20426,56.3%
90071,0,0,0,#DIV/0!
90073,11618,53.4,801,3.4%
90077,75404,47.8,8328,54.2%
90079,0,0,0,#DIV/0!
90089,3309,19.4,3326,1.0%
90090,0,0,0,#DIV/0!
90094,66707,33.2,6062,58.8%
90095,0,0,0,#DIV/0!
90210,48321,46.8,21478,44.7%
90211,49150,40.3,8080,40.0%
90212,50613,42.2,12415,50.0%
90230,35388,38.4,33090,34.4%
90232,42001,39.4,15353,36.0%
90245,44136,38.9,16839,31.2%
90247,22981,36.3,47374,15.1%
90248,26337,45.5,9936,16.6%
